,item_id,name,bomc_id,timestamp,value,cmdb_id
104,999999996470837,container_fail_percent,ZJ-004-065,1606862568000,0.0,container_001
105,999999996470922,container_fail_percent,ZJ-004-065,1606862569000,0.0,container_002
106,999999996470837,container_fail_percent,ZJ-004-065,1606862617000,0.0,container_001
107,999999996470922,container_fail_percent,ZJ-004-065,1606862618000,0.0,container_002
108,999999996470837,container_fail_percent,ZJ-004-065,1606862683000,0.0,container_001
109,999999996470922,container_fail_percent,ZJ-004-065,1606862683000,0.0,container_002
110,999999996470837,container_fail_percent,ZJ-004-065,1606862746000,0.0,container_001
111,999999996470922,container_fail_percent,ZJ-004-065,1606862747000,0.0,container_002
112,999999996470922,container_fail_percent,ZJ-004-065,1606862805000,0.0,container_002
113,999999996470837,container_fail_percent,ZJ-004-065,1606862805000,0.0,container_001
42810,63309180,Incoming_network_traffic,ZJ-001-069,1606862520000,0.0,os_015
42811,65435640,Disk_io_util,ZJ-001-125,1606862520000,0.0,os_020
42812,999999996432240,Disk_rd_ios,ZJ-001-098,1606862520000,0.0,os_007
42813,999999996431220,FS_used_space,ZJ-001-108,1606862520000,6.05041,os_014
42814,999999996430740,Send_total,ZJ-001-074,1606862520000,0.000463,os_006
42815,63308940,Outgoing_network_traffic,ZJ-001-072,1606862520000,0.06462999999999999,os_022
42816,999999996431400,Processor_load_5_min,ZJ-001-005,1606862520000,0.003333,os_012
42817,999999996430620,Num_of_processes,ZJ-001-076,1606862520000,207.0,os_010
42818,999999996432420,Send_total,ZJ-001-074,1606862520000,0.000566,os_008
42819,999999996487800,Send_total,ZJ-001-074,1606862520000,0.250657,os_017
42820,65439900,Disk_io_util,ZJ-001-125,1606862520000,0.0,os_012
42821,999999996432361,Agent_ping,ZJ-001-080,1606862521000,1.0,os_009
42822,999999996431821,Memory_free,ZJ-001-028,1606862521000,0.6618729999999999,os_005
42823,999999996430741,Recv_total,ZJ-001-073,1606862521000,0.6738569999999999,os_006
42824,999999996431401,Processor_load_1_min,ZJ-001-004,1606862521000,0.0,os_012
42825,999999996432181,CPU_idle_pct,ZJ-001-008,1606862521000,99.79995,os_007
42826,999999996430621,Zombie_Process,ZJ-001-126,1606862521000,0.0,os_010
42827,999999996487801,Recv_total,ZJ-001-073,1606862521000,256.055134,os_017
42828,999999996432421,Recv_total,ZJ-001-073,1606862521000,0.573613,os_008
42829,63309181,Incoming_network_traffic,ZJ-001-069,1606862521000,0.0,os_015
42830,999999996437701,Agent_ping,ZJ-001-080,1606862521000,1.0,os_002
42831,999999996430681,Agent_ping,ZJ-001-080,1606862521000,1.0,os_010
42832,999999996431221,FS_used_pct,ZJ-001-109,1606862521000,15.43,os_014
42833,65435641,Disk_io_util,ZJ-001-125,1606862521000,0.0,os_020
42834,999999996431641,Page_po,ZJ-001-090,1606862521000,1710.0,os_004
42835,65431982,Disk_io_util,ZJ-001-125,1606862522000,0.0,os_003
42836,999999996431822,Cache_used,ZJ-001-027,1606862522000,6.6458850000000025,os_005
42837,999999996430622,Num_of_running_processes,ZJ-001-075,1606862522000,1.0,os_010
42838,999999996431341,Disk_svctm,ZJ-001-095,1606862522000,0.0,os_013
42839,999999996431642,Page_pi,ZJ-001-091,1606862522000,0.0,os_004
42840,999999996431402,Processor_load_15_min,ZJ-001-003,1606862522000,0.008333,os_012
42841,999999996432241,Disk_await,ZJ-001-096,1606862522000,0.0,os_007
42842,999999996431452,Disk_io_util,ZJ-001-101,1606862522000,0.0,os_012
42843,65442482,Disk_io_util,ZJ-001-125,1606862522000,0.0,os_006
42844,999999996432242,Disk_avgqu_sz,ZJ-001-097,1606862522000,0.000667,os_007
42845,999999996431522,ss_total,ZJ-001-107,1606862522000,501.0,os_011
42846,999999996430382,CPU_user_time,ZJ-001-015,1606862522000,0.326752,os_001
42847,999999996431222,FS_total_space,ZJ-001-110,1606862522000,39.2121,os_014
42848,999999996430442,Disk_wr_kbs,ZJ-001-103,1606862522000,0.006508,os_001
42849,999999996430203,Memory_used_pct,ZJ-001-029,1606862523000,62.52,os_022
42850,999999996431223,FS_max_util,ZJ-001-105,1606862523000,17.0,os_014
42851,999999996430443,Disk_wr_ios,ZJ-001-102,1606862523000,0.0,os_001
42852,63308943,Incoming_network_traffic,ZJ-001-069,1606862523000,0.040112,os_022
42853,999999996430383,CPU_system_time,ZJ-001-014,1606862523000,0.774439,os_001
42854,65431983,Disk_io_util,ZJ-001-125,1606862523000,0.0,os_003
42855,65442543,Disk_io_util,ZJ-001-125,1606862523000,0.0,os_016
42856,999999996431823,Buffers_used,ZJ-001-026,1606862523000,1.243233,os_005
42857,63309303,Incoming_network_traffic,ZJ-001-069,1606862523000,0.006612000000000001,os_012
42858,999999996431883,Memory_used_pct,ZJ-001-029,1606862523000,45.12,os_005
42859,65434803,Disk_io_util,ZJ-001-125,1606862523000,0.0,os_009
42860,999999996431283,CPU_iowait_time,ZJ-001-010,1606862523000,0.072268,os_013
42861,999999996432423,System_wait_queue_length,ZJ-001-078,1606862523000,0.0,os_008
42862,999999996431343,Disk_rd_kbs,ZJ-001-099,1606862523000,0.0,os_013
42863,999999996484024,FS_used_space,ZJ-001-108,1606862524000,270.439,os_018
42864,999999996430204,Memory_used,ZJ-001-031,1606862524000,39.336803,os_022
42865,999999996430144,Memory_available,ZJ-001-025,1606862524000,23.582183999999998,os_022
42866,999999996431524,Send_total,ZJ-001-074,1606862524000,0.028933999999999998,os_011
