name,host,thresh
container_cpu_used,docker_001,3.7152524573999215
container_mem_used,docker_001,4.120675222382702
container_cpu_used,docker_002,4.344661833450548
container_mem_used,docker_002,4.130805645831616
container_cpu_used,docker_003,4.438699218011793
container_cpu_used,docker_004,4.1614402203407455
container_cpu_used,docker_005,2.5471202327634144
container_mem_used,docker_005,4.012085643078903
container_cpu_used,docker_006,4.169349696323617
container_mem_used,docker_006,4.140823346137504
container_cpu_used,docker_007,5.5927220152245
container_mem_used,docker_007,4.098743720961527
container_cpu_used,docker_008,5.275985724532999
container_mem_used,docker_008,4.151451775220935
Buffers_used,os_001,5.423940757167713
CPU_idle_pct,os_001,5.235076292349219
CPU_iowait_time,os_001,3.2901622609063588
CPU_system_time,os_001,5.120765603650605
CPU_user_time,os_001,3.825766313637123
CPU_util_pct,os_001,5.091824392539075
Cache_used,os_001,4.889491234618612
Disk_avgqu_sz,os_001,3.730448263028931
Disk_await,os_001,2.267629342653041
Disk_io_util,os_001,2.554581862861109
Disk_svctm,os_001,2.0436505765335293
Disk_wr_ios,os_001,2.857376236821924
Disk_wr_kbs,os_001,2.9543628901564656
FS_max_avail,os_001,4.874564383424258
FS_used_pct,os_001,4.881734613532293
FS_used_space,os_001,4.880247028374012
Incoming_network_traffic,os_001,3.9421896291998753
Memory_available,os_001,6.07332563704436
Memory_available_pct,os_001,3.521345665343002
Memory_free,os_001,6.613517873764075
Memory_used,os_001,6.62883149015482
Memory_used_pct,os_001,3.4993098747264453
Num_of_processes,os_001,2.6528783583435054
Num_of_running_processes,os_001,5.117275053680073
Outgoing_network_traffic,os_001,3.6834763132311337
Page_po,os_001,4.593874238812996
Processor_load_15_min,os_001,5.930250828816081
Processor_load_1_min,os_001,5.414478368052165
Processor_load_5_min,os_001,6.188760095763116
Received_packets,os_001,4.91997961207146
Received_queue,os_001,1.047550699056992
Recv_total,os_001,3.96872574801545
Send_total,os_001,3.8001609474941156
Sent_packets,os_001,4.950748000313256
Sent_queue,os_001,5.032646998709112
System_block_queue_length,os_001,2.4919370299163823
System_wait_queue_length,os_001,3.16278103362546
ss_total,os_001,4.232084339985557
Buffers_used,os_002,5.2060826754723015
CPU_idle_pct,os_002,3.8109340051696416
CPU_iowait_time,os_002,3.9120769492419654
CPU_system_time,os_002,4.206102923132424
CPU_user_time,os_002,3.992719953086403
CPU_util_pct,os_002,4.078439087786686
Cache_used,os_002,4.310456120207627
Disk_avgqu_sz,os_002,3.380982394735346
Disk_await,os_002,3.0419473498190293
Disk_io_util,os_002,2.589810004968734
Disk_svctm,os_002,1.7710825688125786
Disk_wr_ios,os_002,2.4758536454115103
Disk_wr_kbs,os_002,3.808493921017705
FS_max_avail,os_002,4.326328087309733
FS_used_pct,os_002,4.333463395520587
FS_used_space,os_002,4.329252565020495
Incoming_network_traffic,os_002,4.524049265793355
Memory_available,os_002,6.62723595137969
Memory_available_pct,os_002,6.525498138981116
Memory_free,os_002,5.402757913603046
Memory_used,os_002,6.718251097003881
Memory_used_pct,os_002,6.168283932906781
Num_of_processes,os_002,2.8839226939511535
Num_of_running_processes,os_002,1.3912865473519285
Outgoing_network_traffic,os_002,4.560126435569079
Page_po,os_002,3.7780310383971516
Processor_load_15_min,os_002,6.263839265920484
Processor_load_1_min,os_002,5.571634408834414
Processor_load_5_min,os_002,7.375342565393658
Received_packets,os_002,6.033499881065805
Recv_total,os_002,3.7190012415244156
Send_total,os_002,3.602195314904836
Sent_packets,os_002,5.850653338093985
Sent_queue,os_002,2.605780422960387
System_block_queue_length,os_002,2.0048598103048265
System_wait_queue_length,os_002,2.3813736640136556
ss_total,os_002,4.207032870576086
Buffers_used,os_003,4.324851123651721
CPU_idle_pct,os_003,3.925624701177671
CPU_iowait_time,os_003,5.0708506972017915
CPU_system_time,os_003,4.324882215274972
CPU_user_time,os_003,3.4619023952599335
CPU_util_pct,os_003,3.700096591823407
Cache_used,os_003,2.389693478226194
Disk_avgqu_sz,os_003,3.5004935162375204
Disk_await,os_003,4.6858564033431
Disk_io_util,os_003,3.525694925098035
Disk_svctm,os_003,5.524557753737267
Disk_wr_ios,os_003,3.3784100558237053
Disk_wr_kbs,os_003,4.294646529506055
FS_max_avail,os_003,2.862481196103539
FS_max_util,os_003,1.036349328501337
FS_used_pct,os_003,3.6684386219269465
FS_used_space,os_003,3.643578321755976
Incoming_network_traffic,os_003,3.169934943766542
Memory_available,os_003,5.27220700442319
Memory_available_pct,os_003,3.1625574564467556
Memory_free,os_003,4.860496621453808
Memory_used,os_003,4.915050287085208
Memory_used_pct,os_003,3.0900745844807944
Num_of_processes,os_003,2.6599091791963243
Num_of_running_processes,os_003,2.2187678278610354
Outgoing_network_traffic,os_003,4.9905215533368965
Page_po,os_003,2.9427516247371055
Processor_load_15_min,os_003,5.725551526132621
Processor_load_1_min,os_003,4.784241652308467
Processor_load_5_min,os_003,5.17532418753985
Received_packets,os_003,3.276453688356579
Received_queue,os_003,2.227980646459465
Recv_total,os_003,3.613564944956212
Send_total,os_003,5.841742208794065
Sent_packets,os_003,3.5483547095610013
Sent_queue,os_003,4.0010219702195835
System_block_queue_length,os_003,1.189115845539397
System_wait_queue_length,os_003,2.958210503710336
Zombie_Process,os_003,2.0873237459459553
ss_total,os_003,5.87026360419767
Buffers_used,os_004,4.395309269650328
CPU_idle_pct,os_004,3.2608711531576575
CPU_iowait_time,os_004,3.0168812423672664
CPU_system_time,os_004,2.7283446374317215
CPU_user_time,os_004,4.461535928879906
CPU_util_pct,os_004,3.782015492408611
Cache_used,os_004,5.1944804272184575
Disk_avgqu_sz,os_004,2.835950693547678
Disk_await,os_004,3.6973334903173996
Disk_io_util,os_004,3.4126018650924808
Disk_rd_kbs,os_004,2.854458773195835
Disk_svctm,os_004,3.8434883263300734
Disk_wr_ios,os_004,3.4856990994641412
Disk_wr_kbs,os_004,3.3489467065016547
FS_max_avail,os_004,2.7121200965907533
FS_max_util,os_004,3.426337103067808
FS_used_pct,os_004,3.456106830376476
FS_used_space,os_004,3.5135332862959694
Incoming_network_traffic,os_004,3.446690874159587
Memory_available,os_004,5.349917280140476
Memory_available_pct,os_004,4.502232106899574
Memory_free,os_004,6.303886769270164
Memory_used,os_004,4.746567002025522
Memory_used_pct,os_004,4.970155600753579
Num_of_processes,os_004,3.244215363725037
Num_of_running_processes,os_004,5.843904824648888
Outgoing_network_traffic,os_004,5.878433045604745
Page_pi,os_004,1.9271388779751257
Page_po,os_004,4.453606232803175
Processor_load_15_min,os_004,3.8795997082759044
Processor_load_1_min,os_004,3.7982059511755106
Processor_load_5_min,os_004,3.788501611425829
Received_packets,os_004,2.691732469652821
Received_queue,os_004,2.101942565778666
Recv_total,os_004,3.4220594719682444
Send_total,os_004,2.804217787758668
Sent_packets,os_004,2.9363052326221446
Sent_queue,os_004,5.361832153273995
System_block_queue_length,os_004,1.5307315366986236
System_wait_queue_length,os_004,2.676075607939018
ss_total,os_004,4.467609685845182
Buffers_used,os_005,3.988970641825664
CPU_idle_pct,os_005,5.436682906071525
CPU_iowait_time,os_005,2.966549521257075
CPU_system_time,os_005,5.201899431589101
CPU_user_time,os_005,3.3548363838438027
CPU_util_pct,os_005,5.474478750916687
Cache_used,os_005,3.6882676630674536
Disk_avgqu_sz,os_005,3.089603739122413
Disk_await,os_005,3.3742109139730725
Disk_io_util,os_005,3.5737885510943723
Disk_svctm,os_005,4.0264221978157675
Disk_wr_ios,os_005,3.5861972417176875
Disk_wr_kbs,os_005,3.4759200126526015
FS_max_avail,os_005,2.1459561529175524
FS_max_util,os_005,2.4019384990562607
FS_used_pct,os_005,5.363392420570454
FS_used_space,os_005,4.043016733883897
Incoming_network_traffic,os_005,4.583273682818854
Memory_available,os_005,4.341276567603291
Memory_available_pct,os_005,4.5456570768142415
Memory_free,os_005,3.504477372385854
Memory_used,os_005,3.890895092520246
Memory_used_pct,os_005,4.598958468499877
Num_of_processes,os_005,2.5277540522976345
Num_of_running_processes,os_005,2.6335696964763495
Outgoing_network_traffic,os_005,4.125127612690935
Page_po,os_005,3.607195347762085
Processor_load_15_min,os_005,7.099290169778842
Processor_load_1_min,os_005,4.88371648771206
Processor_load_5_min,os_005,6.351767326799024
Received_packets,os_005,3.1226060219086746
Received_queue,os_005,2.118259165198822
Recv_total,os_005,5.8202195244634325
Send_total,os_005,4.814054656707181
Sent_packets,os_005,3.0781225369710117
Sent_queue,os_005,2.5188725830427607
System_block_queue_length,os_005,1.5320695952530292
System_wait_queue_length,os_005,2.659222403782528
Zombie_Process,os_005,1.6363711519542559
ss_total,os_005,6.672208348646411
Buffers_used,os_006,3.759671119514669
CPU_idle_pct,os_006,2.874097098743361
CPU_iowait_time,os_006,3.4463131557574864
CPU_system_time,os_006,3.5477150316754544
CPU_user_time,os_006,3.13782829960975
CPU_util_pct,os_006,3.88037972397308
Cache_used,os_006,4.065436857842631
Disk_avgqu_sz,os_006,2.8720511152858124
Disk_await,os_006,2.772425568721478
Disk_rd_kbs,os_006,1.9477505416837797
Disk_svctm,os_006,5.147752716980475
Disk_wr_ios,os_006,1.9325831363314934
Disk_wr_kbs,os_006,2.6804842087474015
FS_max_avail,os_006,3.7835265036388295
FS_used_pct,os_006,3.7704400115540704
FS_used_space,os_006,3.7793287252304046
Incoming_network_traffic,os_006,4.751710677580877
Memory_available,os_006,4.10340978592333
Memory_available_pct,os_006,4.214145514242399
Memory_free,os_006,4.1351189887558375
Memory_used,os_006,4.0704996784976055
Memory_used_pct,os_006,4.155323820976751
Num_of_processes,os_006,4.46568102452287
Num_of_running_processes,os_006,4.5091153813254925
Outgoing_network_traffic,os_006,4.449532109857864
Page_pi,os_006,1.8996356764389943
Page_po,os_006,3.281175572283384
Processor_load_15_min,os_006,2.7865340248837693
Processor_load_1_min,os_006,2.825169255005367
Processor_load_5_min,os_006,4.50840424100984
Received_packets,os_006,2.4625494383002624
Recv_total,os_006,4.3260341846547234
Send_total,os_006,3.837555281525723
Sent_packets,os_006,3.059986844101736
Sent_queue,os_006,2.2146025071002216
Shared_memory,os_006,1.8856792599882226
System_wait_queue_length,os_006,3.7704443375197214
ss_total,os_006,3.8168011098759873
Buffers_used,os_007,6.073161917327876
CPU_idle_pct,os_007,3.445770491921158
CPU_iowait_time,os_007,3.448942150956932
CPU_system_time,os_007,3.3426815209144634
CPU_user_time,os_007,3.301009832681187
CPU_util_pct,os_007,3.4378922221186063
Cache_used,os_007,3.8291874982555743
Disk_avgqu_sz,os_007,3.387927435366293
Disk_await,os_007,6.098517812110093
Disk_io_util,os_007,1.941514698664677
Disk_svctm,os_007,3.1374606390164956
Disk_wr_ios,os_007,1.953183629524612
Disk_wr_kbs,os_007,2.3612587091795767
FS_max_avail,os_007,3.815389448454125
FS_used_pct,os_007,3.8268545084696166
FS_used_space,os_007,3.83038398709349
Incoming_network_traffic,os_007,5.02314622960259
Memory_available,os_007,4.239621127677593
Memory_available_pct,os_007,4.248294330222874
Memory_free,os_007,4.449340659600183
Memory_used,os_007,4.183970797048345
Memory_used_pct,os_007,4.227172149870689
Num_of_processes,os_007,3.3895252874834876
Num_of_running_processes,os_007,3.5924966977185835
Outgoing_network_traffic,os_007,4.377971340822812
Page_po,os_007,3.5179651800087415
Processor_load_15_min,os_007,3.087240836946932
Processor_load_1_min,os_007,3.688674821795167
Processor_load_5_min,os_007,6.877452326569332
Received_packets,os_007,1.9354937192069452
Recv_total,os_007,4.303972825952656
Send_total,os_007,3.2794840771870346
Sent_packets,os_007,1.1232847265960317
Sent_queue,os_007,2.5195688063614825
Shared_memory,os_007,2.0979175091634925
System_wait_queue_length,os_007,3.4476818240919
ss_total,os_007,5.040653769386447
Buffers_used,os_008,
CPU_idle_pct,os_008,3.2366289731929485
CPU_iowait_time,os_008,3.739635434004231
CPU_system_time,os_008,2.910483995433187
CPU_user_time,os_008,3.001582369259258
CPU_util_pct,os_008,3.528567215817363
Cache_used,os_008,3.7808498525960603
Disk_avgqu_sz,os_008,4.255739207976612
Disk_await,os_008,4.412707827889222
Disk_svctm,os_008,3.731321117514929
Disk_wr_ios,os_008,1.9808301070098369
Disk_wr_kbs,os_008,3.8966737633558175
FS_max_avail,os_008,3.7693114003549026
FS_used_pct,os_008,3.779049678690654
FS_used_space,os_008,3.7819078132553243
Incoming_network_traffic,os_008,4.680641938259984
Memory_available,os_008,4.12306085348186
Memory_available_pct,os_008,4.827183253148009
Memory_free,os_008,3.8868240511548846
Memory_used,os_008,4.358580689828869
Memory_used_pct,os_008,4.6717452832077075
Num_of_processes,os_008,2.1823060151810387
Num_of_running_processes,os_008,1.5589362745389537
Outgoing_network_traffic,os_008,3.9784617604594747
Page_po,os_008,4.542405702250301
Processor_load_15_min,os_008,3.1557058963502
Processor_load_1_min,os_008,3.114516996692413
Processor_load_5_min,os_008,4.092937825928095
Received_packets,os_008,4.417427004345269
Recv_total,os_008,4.4958705359071525
Send_total,os_008,3.3334692329396507
