key,name,host,thresh
dcos_docker,container_session_used,docker_008,-1
dcos_docker,container_session_used,docker_003,-1
dcos_docker,container_session_used,docker_005,-1
dcos_docker,container_session_used,docker_002,-1
dcos_docker,container_session_used,docker_004,-1
dcos_docker,container_session_used,docker_007,-1
dcos_docker,container_session_used,docker_001,-1
dcos_docker,container_session_used,docker_006,-1
dcos_docker,container_fgct,docker_008,-1
dcos_docker,container_fgct,docker_003,-1
dcos_docker,container_fgct,docker_002,-1
dcos_docker,container_fgct,docker_005,-1
dcos_docker,container_fgct,docker_004,-1
dcos_docker,container_fgct,docker_007,-1
dcos_docker,container_fgct,docker_001,-1
dcos_docker,container_fgct,docker_006,-1
dcos_docker,container_cpu_used,docker_008,3.205530223608118
dcos_docker,container_cpu_used,docker_003,0.9152712172192755
dcos_docker,container_cpu_used,docker_002,0.9266464587309136
dcos_docker,container_cpu_used,docker_005,7.491508222489309
dcos_docker,container_cpu_used,docker_004,0.9373940940554992
dcos_docker,container_cpu_used,docker_007,1.212765317727511
dcos_docker,container_cpu_used,docker_001,0.9918576102971555
dcos_docker,container_cpu_used,docker_006,0.8740021811401982
dcos_docker,container_thread_idle,docker_008,-1
dcos_docker,container_thread_idle,docker_003,-1
dcos_docker,container_thread_idle,docker_005,-1
dcos_docker,container_thread_idle,docker_002,-1
dcos_docker,container_thread_idle,docker_004,-1
dcos_docker,container_thread_idle,docker_007,-1
dcos_docker,container_thread_idle,docker_001,-1
dcos_docker,container_thread_idle,docker_006,-1
dcos_docker,container_thread_running,docker_008,-1
dcos_docker,container_thread_running,docker_003,-1
dcos_docker,container_thread_running,docker_005,-1
dcos_docker,container_thread_running,docker_002,-1
dcos_docker,container_thread_running,docker_004,-1
dcos_docker,container_thread_running,docker_007,-1
dcos_docker,container_thread_running,docker_001,-1
dcos_docker,container_thread_running,docker_006,-1
dcos_docker,container_thread_total,docker_008,-1
dcos_docker,container_thread_total,docker_003,-1
dcos_docker,container_thread_total,docker_002,-1
dcos_docker,container_thread_total,docker_005,-1
dcos_docker,container_thread_total,docker_004,-1
dcos_docker,container_thread_total,docker_007,-1
dcos_docker,container_thread_total,docker_001,-1
dcos_docker,container_thread_total,docker_006,-1
dcos_docker,container_fgc,docker_008,-1
dcos_docker,container_fgc,docker_003,-1
dcos_docker,container_fgc,docker_005,-1
dcos_docker,container_fgc,docker_002,-1
dcos_docker,container_fgc,docker_004,-1
dcos_docker,container_fgc,docker_007,-1
dcos_docker,container_fgc,docker_001,-1
dcos_docker,container_fgc,docker_006,-1
