name,host,thresh
container_cpu_used,docker_001,3.954088081201225
container_mem_used,docker_001,4.553732703116024
container_cpu_used,docker_002,4.585205788986732
container_mem_used,docker_002,4.573493579197561
container_cpu_used,docker_003,4.643860538044449
container_cpu_used,docker_004,4.365474587027343
container_cpu_used,docker_005,2.6099957393998925
container_mem_used,docker_005,4.276638026809125
container_cpu_used,docker_006,4.3754952243564365
container_mem_used,docker_006,4.564204202900001
container_cpu_used,docker_007,5.984328506013044
container_mem_used,docker_007,4.528575609435909
container_cpu_used,docker_008,5.645147699434444
container_mem_used,docker_008,4.5583873045863745
Buffers_used,os_001,5.535927391997619
CPU_idle_pct,os_001,5.444427904754691
CPU_iowait_time,os_001,3.3166932614852356
CPU_system_time,os_001,5.263512492236159
CPU_user_time,os_001,3.8293833595722053
CPU_util_pct,os_001,5.3331905918949705
Cache_used,os_001,4.996088437891201
Disk_avgqu_sz,os_001,3.829475713051981
Disk_await,os_001,2.313871411804455
Disk_io_util,os_001,2.5798270696274272
Disk_svctm,os_001,2.0556090179849256
Disk_wr_ios,os_001,2.8651357879145336
Disk_wr_kbs,os_001,2.959174936803207
FS_max_avail,os_001,4.980930802252378
FS_used_pct,os_001,4.987968742117405
FS_used_space,os_001,4.986761634173426
Incoming_network_traffic,os_001,3.961899146558888
Memory_available,os_001,6.397287697487589
Memory_available_pct,os_001,3.5762368931865547
Memory_free,os_001,6.690838666490517
Memory_used,os_001,6.9171088176008775
Memory_used_pct,os_001,3.534190201611469
Num_of_processes,os_001,2.6543601997264004
Num_of_running_processes,os_001,5.192255550802915
Outgoing_network_traffic,os_001,3.74793270381784
Page_po,os_001,4.786343137180542
Processor_load_15_min,os_001,6.1632196136203605
Processor_load_1_min,os_001,5.531304248028959
Processor_load_5_min,os_001,6.567030030025858
Received_packets,os_001,4.982418955844347
Received_queue,os_001,1.0503019943177376
Recv_total,os_001,4.121847459844393
Send_total,os_001,3.943351742504341
Sent_packets,os_001,5.009364845382902
Sent_queue,os_001,5.08501280707027
System_block_queue_length,os_001,2.497917358390132
System_wait_queue_length,os_001,3.1776601381186382
ss_total,os_001,4.3427911447274035
Buffers_used,os_002,5.314641594785014
CPU_idle_pct,os_002,3.8210305718460837
CPU_iowait_time,os_002,3.9878551905690762
CPU_system_time,os_002,4.313582038882552
CPU_user_time,os_002,3.9975166446488357
CPU_util_pct,os_002,4.109833158207776
Cache_used,os_002,4.394989181544636
Disk_avgqu_sz,os_002,3.4117738273045792
Disk_await,os_002,3.0442951080354947
Disk_io_util,os_002,2.6012561139529193
Disk_svctm,os_002,1.7989342984134045
Disk_wr_ios,os_002,2.4845375120501716
Disk_wr_kbs,os_002,3.8856201075489145
FS_max_avail,os_002,4.417215717380602
FS_used_pct,os_002,4.424329041979358
FS_used_space,os_002,4.420190861800011
Incoming_network_traffic,os_002,4.649635319925083
Memory_available,os_002,6.8900379346521845
Memory_available_pct,os_002,6.759920709824173
Memory_free,os_002,5.430774761465936
Memory_used,os_002,6.94769661214608
Memory_used_pct,os_002,6.401382309502852
Num_of_processes,os_002,2.8890858508905213
Num_of_running_processes,os_002,1.398484329814875
Outgoing_network_traffic,os_002,4.6890743001412725
Page_po,os_002,3.8671114115658445
Processor_load_15_min,os_002,6.657241888343553
Processor_load_1_min,os_002,5.7655928055172145
Processor_load_5_min,os_002,7.952946569033352
Received_packets,os_002,6.097541841190852
Recv_total,os_002,3.7627132892597444
Send_total,os_002,3.6091077584808238
Sent_packets,os_002,5.944681930541579
Sent_queue,os_002,2.607857534469103
System_block_queue_length,os_002,2.0234968472786017
System_wait_queue_length,os_002,2.3886922075179498
ss_total,os_002,4.283569652866798
Buffers_used,os_003,4.416280982480918
CPU_idle_pct,os_003,4.066578003349067
CPU_iowait_time,os_003,5.323696742454274
CPU_system_time,os_003,4.532808380223467
CPU_user_time,os_003,3.51975533983352
CPU_util_pct,os_003,3.7355858393948895
Cache_used,os_003,2.393865781862049
Disk_avgqu_sz,os_003,3.505205481094525
Disk_await,os_003,4.829594344963599
Disk_io_util,os_003,3.5333899746814588
Disk_svctm,os_003,5.654368274231302
Disk_wr_ios,os_003,3.4209890007969643
Disk_wr_kbs,os_003,4.49334902930134
FS_max_avail,os_003,2.867995958612485
FS_max_util,os_003,1.0373087568857167
FS_used_pct,os_003,3.7126346699404125
FS_used_space,os_003,3.6636910458798146
Incoming_network_traffic,os_003,3.1921062773205167
Memory_available,os_003,5.480903888182627
Memory_available_pct,os_003,3.1688982613010204
Memory_free,os_003,4.923737172398208
Memory_used,os_003,5.058894727110324
Memory_used_pct,os_003,3.1155698608378852
Num_of_processes,os_003,2.66100798143146
Num_of_running_processes,os_003,2.2284392133887794
Outgoing_network_traffic,os_003,5.254656566435661
Page_po,os_003,2.986724517446491
Processor_load_15_min,os_003,5.908693133419341
Processor_load_1_min,os_003,5.014547164092043
Processor_load_5_min,os_003,5.330339885607357
Received_packets,os_003,3.2788303465412327
Received_queue,os_003,2.232500925833901
Recv_total,os_003,3.6283520776746925
Send_total,os_003,6.131493701970737
Sent_packets,os_003,3.5568526013402506
Sent_queue,os_003,4.046585559543594
